date,MVRV,txs_count,daily_active_adds,mean_hash_rate,gwei,30_volat,google_trends,net_outflow,closing_price
2019-10-20,0.0201,-0.0794,-0.1042,0.0010,0.0986,0.0057,0.0000,8.0315,0.0208
2019-10-21,-0.0052,0.1081,0.0941,-0.0366,-0.0195,0.0000,0.0000,-1.5205,-0.0056
2019-10-22,-0.0158,0.0703,0.0121,0.0077,0.0706,-0.0008,0.0000,-1.0385,-0.0169
2019-10-23,-0.0533,0.0140,0.0039,0.0334,0.1513,0.0096,0.0000,-48.0977,-0.0580
2019-10-24,0.0012,-0.0156,-0.0126,-0.0286,-0.1902,-0.2947,0.0000,-1.2465,-0.0019
2019-10-25,0.1178,0.0231,0.0675,-0.0357,0.0508,0.2090,0.0000,0.9386,0.1251
2019-10-26,-0.0079,-0.0335,0.0444,0.0280,-0.0012,-0.0050,0.0000,8.5506,-0.0080
2019-10-27,0.0251,-0.1030,-0.1544,-0.0226,-0.0838,-0.0149,0.0000,-0.8798,0.0270
2019-10-28,-0.0098,0.1219,0.1296,0.0069,0.0955,0.0014,0.0000,0.4175,-0.0095
2019-10-29,0.0416,-0.0190,-0.0231,0.0035,0.0132,0.0112,0.0000,-0.4202,0.0438
2019-10-30,-0.0381,0.0141,-0.0165,0.0146,-0.0072,-0.0116,0.0000,-1.8401,-0.0396
2019-10-31,-0.0037,0.0369,0.0359,0.0024,-0.0105,-0.0031,0.0000,-2.9165,-0.0046
2019-11-01,0.0049,-0.0525,-0.0045,0.0095,-0.0394,-0.0057,0.0000,-2.0795,0.0051
2019-11-02,-0.0023,-0.1618,-0.1536,-0.0186,-0.0724,-0.0113,0.0000,-0.4781,-0.0020
2019-11-03,-0.0056,-0.0336,-0.0525,0.0017,0.0247,0.0005,0.0000,-3.8565,-0.0060
2019-11-04,0.0216,0.1745,0.1376,-0.0208,0.0336,0.0054,0.0000,-1.5678,0.0227
2019-11-05,0.0355,0.1021,0.1552,0.0121,-0.0408,-0.0166,0.0000,-5.4153,0.0171
2019-11-06,0.0116,-0.0426,-0.0437,0.0132,-0.0402,-0.0469,0.0000,-0.6967,0.0124
2019-11-07,-0.0239,0.2114,0.2973,-0.0036,0.2387,0.0098,0.0000,-0.8085,-0.0250
2019-11-08,-0.0129,-0.1846,-0.2675,-0.0078,-0.1780,-0.0723,0.0000,-4.9297,-0.0146
2019-11-09,0.0058,-0.1361,-0.1613,0.0034,0.0135,-0.0017,0.0000,-1.8100,0.0050
2019-11-10,0.0209,0.0089,0.1160,-0.0008,-0.0312,-0.0464,0.0000,2.5326,0.0221
2019-11-11,-0.0233,0.1654,0.1033,-0.0149,0.0631,0.0114,0.0000,-0.9706,-0.0245
2019-11-12,0.0111,-0.0021,0.0047,0.0155,-0.0160,0.0015,0.0000,45.5199,0.0117
2019-11-13,0.0076,0.0069,-0.0243,0.0183,0.0285,-0.0115,0.0000,0.0085,0.0078
2019-11-14,-0.0143,-0.0477,-0.0264,-0.0157,0.0700,-0.0153,0.0000,-0.9129,-0.0174
2019-11-15,-0.0217,0.0052,-0.0492,-0.0130,-0.0977,-0.0037,0.0000,-7.9183,-0.0259
2019-11-16,0.0118,-0.1265,-0.0959,-0.0151,-0.0919,0.0004,0.0000,-1.2768,0.0128
2019-11-17,0.0080,0.0059,0.0410,0.0222,0.0381,-0.0096,0.5000,0.0709,0.0085
2019-11-18,-0.0291,0.2238,0.1100,0.0047,0.5893,0.0186,0.5000,-1.0299,-0.0314
2019-11-19,-0.0133,0.0014,0.0525,-0.0624,-0.3395,-0.0028,0.5000,-67.5552,-0.0148
2019-11-20,-0.0051,-0.0622,-0.0488,-0.0068,0.0536,0.0000,0.5000,-1.6119,-0.0058
2019-11-21,-0.0739,0.1060,0.1364,0.0560,0.1853,0.1068,0.5000,-2.0580,-0.0784
2019-11-22,-0.0588,0.0418,0.1147,-0.0257,0.3390,0.0197,0.5000,-1.4917,-0.0681
2019-11-23,0.0191,-0.2052,-0.1763,0.0172,-0.4357,0.0051,0.5000,21.1641,0.0170
2019-11-24,-0.0677,-0.0551,-0.1216,-0.0026,0.0214,-0.1588,0.0000,-1.0695,-0.0706
2019-11-25,0.0378,0.2781,0.3213,0.0138,0.4626,0.0345,0.0000,-3.0018,0.0352
2019-11-26,0.0099,-0.1090,-0.1896,-0.0699,-0.1890,-0.0161,0.0000,-1.1648,0.0094
2019-11-27,0.0343,-0.0070,-0.0473,0.0269,-0.1140,0.0327,0.0000,-69.2965,0.0359
2019-11-28,-0.0142,-0.0769,0.0310,0.0009,0.0108,-0.0441,0.0000,-0.9864,-0.0146
2019-11-29,0.0321,0.0762,0.0777,-0.0008,-0.0794,-0.0067,0.0000,-9.9818,0.0215
2019-11-30,-0.0125,-0.1278,-0.0892,0.0121,-0.0213,0.0015,0.0000,-0.6446,-0.0145
2019-12-01,-0.0035,0.0516,-0.0410,-0.0171,0.2269,-0.0025,-0.3333,0.4598,-0.0042
2019-12-02,-0.0138,0.1075,0.1564,0.0137,-0.0584,0.0011,-0.3333,-0.2388,-0.0154
2019-12-03,-0.0089,-0.1038,-0.1165,0.0134,-0.0808,0.0003,-0.3333,-2.0384,-0.0106
2019-12-04,-0.0105,0.0827,0.0118,-0.0221,0.0004,-0.0176,-0.3333,-0.4464,-0.0120
2019-12-05,0.0164,-0.0656,0.1405,-0.0098,-0.0498,-0.0011,-0.3333,1.4947,0.0160
2019-12-06,0.0073,-0.0712,-0.1686,-0.0106,0.0132,-0.0053,-0.3333,1.0115,0.0046
2019-12-07,-0.0071,-0.1491,-0.1351,0.0358,-0.0985,-0.0061,-0.3333,-1.2694,-0.0080
2019-12-08,0.0220,-0.0972,-0.0358,-0.0333,-0.2078,0.0170,0.0000,-0.4893,0.0225
2019-12-09,-0.0218,0.4420,0.3459,0.0085,0.2044,0.0023,0.0000,1.4060,-0.0230
2019-12-10,-0.0106,-0.0061,-0.0730,0.0379,0.0527,-0.0181,0.0000,1.1784,-0.0114
2019-12-11,-0.0153,-0.0099,0.0039,-0.0381,0.0817,-0.0038,0.0000,-1.2199,-0.0176
2019-12-12,0.0104,0.0165,0.2987,0.0159,-0.0833,-0.0004,0.0000,-2.5563,0.0112
2019-12-13,-0.0003,-0.0222,0.0647,0.0029,-0.0057,-0.0044,0.0000,0.5813,-0.0009
2019-12-14,-0.0175,-0.1132,-0.0747,0.0185,-0.0312,0.0007,0.0000,1.6072,-0.0191
2019-12-15,0.0035,-0.0438,0.0209,-0.0158,0.0627,-0.0040,0.5000,-0.7243,0.0033
2019-12-16,-0.0666,0.2043,-0.0580,-0.0082,0.0961,0.0726,0.5000,-3.6288,-0.0697
2019-12-17,-0.0744,0.0194,-0.0749,-0.0469,0.1374,0.0891,0.5000,-3.2705,-0.0821
2019-12-18,0.0924,0.0252,0.0341,-0.0462,0.0715,0.1450,0.5000,-0.4746,0.0936
2019-12-19,-0.0299,-0.0651,-0.0579,0.0031,-0.2285,0.0095,0.5000,-0.8344,-0.0379
2019-12-20,0.0063,-0.0094,0.0875,-0.0305,0.0186,0.0018,0.5000,-1.7734,0.0029
2019-12-21,-0.0073,-0.1123,0.1873,0.0279,-0.1083,-0.0642,0.5000,-7.9958,-0.0087
2019-12-22,0.0383,-0.0283,-0.1684,-0.0164,-0.0474,-0.0301,0.0000,-0.0761,0.0391
